"ID.Results";"mes_date";"ID.Modul";"channel";"U0";"Ik";"Pmpp";"FF";"Ghor";"Tluft";"RA";"MN";"HN";"Res";"mes_time"
"2912116";"10/1/2024 6:35:06 AM";2;22;0;0;0;NA;-30003000;"12.9°C ";205;50;10;1;2
"2912117";"10/1/2024 6:35:25 AM";2;3;0;0;0;NA;-30003000;"12.9°C ";205;80;10;1;2
"2912118";"10/1/2024 6:35:27 AM";-1;7;0;0;0;NA;-30003000;"12.9°C ";205;80;10;1;2
"2912119";"10/1/2024 6:35:29 AM";2;18;0;0;0;NA;-30003000;"12.9°C ";205;80;10;1;1
"2912120";"10/1/2024 6:35:30 AM";2;22;0;0;0;NA;-30003000;"12.9°C ";205;80;10;1;2
"2912121";"10/1/2024 6:35:50 AM";2;3;0;0;0;NA;-30003000;"12.8°C ";166;50;10;1;2
"2912122";"10/1/2024 6:35:52 AM";-1;7;0,273;1,45e-05;1,0944e-06;28;-30003000;"12.8°C ";166;50;10;1;2
"2912123";"10/1/2024 6:35:54 AM";2;18;0;0;0;NA;-30003000;"12.8°C ";166;50;10;1;1
"2912124";"10/1/2024 6:35:55 AM";2;22;0;0;0;NA;-30003000;"12.8°C ";166;50;10;1;2
"2912125";"10/1/2024 6:36:14 AM";2;3;0;0;0;NA;-30003000;"12.8°C ";166;80;10;1;2
"2912126";"10/1/2024 6:36:16 AM";-1;7;0;0;0;NA;-30003000;"12.8°C ";166;80;10;1;1
"2912127";"10/1/2024 6:36:18 AM";2;18;0;0;0;NA;-30003000;"12.8°C ";166;80;10;1;1
"2912128";"10/1/2024 6:36:19 AM";2;22;0;0;0;NA;-30003000;"12.8°C ";166;80;10;1;2
"2912129";"10/1/2024 6:36:43 AM";2;3;0;0;0;NA;-30003000;"12.9°C ";205;40;20;1;2
"2912130";"10/1/2024 6:36:45 AM";-1;7;0;0;0;NA;-30003000;"12.9°C ";205;40;20;1;1
"2912131";"10/1/2024 6:36:46 AM";2;18;0;0;0;NA;-30003000;"12.9°C ";205;40;20;1;2
"2912132";"10/1/2024 6:36:48 AM";2;22;0;0;0;NA;-30003000;"12.9°C ";205;40;20;1;2
"2912133";"10/1/2024 6:37:08 AM";2;3;0;0;0;NA;-30003000;"12.8°C ";205;70;20;1;1
"2912134";"10/1/2024 6:37:09 AM";-1;7;0;0;0;NA;-30003000;"12.8°C ";205;70;20;1;2
"2912135";"10/1/2024 6:37:11 AM";2;18;0;0;0;NA;-30003000;"12.8°C ";205;70;20;1;1
"2912136";"10/1/2024 6:37:12 AM";2;22;0,576;1,03e-05;2,5308e-06;43;-30003000;"12.8°C ";205;70;20;1;3
"2912137";"10/1/2024 6:37:33 AM";2;3;0,212;1,68e-05;9,922e-07;28;-30003000;"12.9°C ";166;40;20;1;1
"2912138";"10/1/2024 6:37:34 AM";-1;7;0;0;0;NA;-30003000;"12.9°C ";166;40;20;1;2
"2912139";"10/1/2024 6:37:36 AM";2;18;0;0;0;NA;-30003000;"12.9°C ";166;40;20;1;1
"2912140";"10/1/2024 6:37:37 AM";2;22;0,636;1,57e-05;4,2946e-06;43;-30003000;"12.9°C ";166;40;20;1;3
"2912141";"10/1/2024 6:37:57 AM";2;3;0,273;1,94e-05;1,3794e-06;26;-30003000;"-187568.8°C ";166;70;20;1;1
"2912142";"10/1/2024 6:37:58 AM";-1;7;0;0;0;NA;-30003000;"-187568.8°C ";166;70;20;1;2
"2912143";"10/1/2024 6:38:00 AM";2;18;0;0;0;NA;-30003000;"-187568.8°C ";166;70;20;1;1
"2912144";"10/1/2024 6:38:01 AM";2;22;0;0;0;NA;-30003000;"-187568.8°C ";166;70;20;1;2
"2912145";"10/1/2024 6:38:21 AM";2;3;0;0;0;NA;-30003000;"12.9°C ";137;40;20;1;2
"2912146";"10/1/2024 6:38:23 AM";-1;7;0;0;0;NA;-30003000;"12.9°C ";137;40;20;1;2
"2912147";"10/1/2024 6:38:25 AM";2;18;0;0;0;NA;-30003000;"12.9°C ";137;40;20;1;1
"2912148";"10/1/2024 6:38:26 AM";2;22;0,636;1,47e-05;4,137e-06;44;-30003000;"12.9°C ";137;40;20;1;3
"2912149";"10/1/2024 6:38:45 AM";2;3;0;0;0;NA;-30003000;"12.8°C ";137;70;20;1;2
"2912150";"10/1/2024 6:38:47 AM";-1;7;0;0;0;NA;-30003000;"12.8°C ";137;70;20;1;1
"2912151";"10/1/2024 6:38:49 AM";2;18;0;0;0;NA;-30003000;"12.8°C ";137;70;20;1;1
"2912152";"10/1/2024 6:38:50 AM";2;22;0;0;0;NA;-30003000;"12.8°C ";137;70;20;1;2
"2912153";"10/1/2024 6:39:09 AM";2;3;0;0;0;NA;-30003000;"-187568.8°C ";115;40;20;1;2
"2912154";"10/1/2024 6:39:11 AM";-1;7;0;0;0;NA;-30003000;"-187568.8°C ";115;40;20;1;1
"2912155";"10/1/2024 6:39:13 AM";2;18;0;0;0;NA;-30003000;"-187568.8°C ";115;40;20;1;1
"2912156";"10/1/2024 6:39:14 AM";2;22;0;0;0;NA;-30003000;"-187568.8°C ";115;40;20;1;2
"2912157";"10/1/2024 6:39:34 AM";2;3;0;0;0;NA;-30003000;"12.9°C ";115;70;20;1;2
"2912158";"10/1/2024 6:39:36 AM";-1;7;0;0;0;NA;-30003000;"12.9°C ";115;70;20;1;1
"2912159";"10/1/2024 6:39:37 AM";2;18;0,03;0,0001124;0;0;-30003000;"12.9°C ";115;70;20;1;2
"2912160";"10/1/2024 6:39:39 AM";2;22;0;0;0;NA;-30003000;"12.9°C ";115;70;20;1;1
"2912161";"10/1/2024 6:40:03 AM";2;3;0;0;0;NA;-30003000;"12.8°C ";137;30;30;1;2
"2912162";"10/1/2024 6:40:05 AM";-1;7;0;0;0;NA;-30003000;"12.8°C ";137;30;30;1;1
"2912163";"10/1/2024 6:40:06 AM";2;18;0;0;0;NA;-30003000;"12.8°C ";137;30;30;1;2
"2912164";"10/1/2024 6:40:08 AM";2;22;0;0;0;NA;-30003000;"12.8°C ";137;30;30;1;1
"2912165";"10/1/2024 6:40:27 AM";2;3;0;0;0;NA;-30003000;"12.8°C ";137;60;30;1;2
"2912166";"10/1/2024 6:40:29 AM";-1;7;0;0;0;NA;-30003000;"12.8°C ";137;60;30;1;1
"2912167";"10/1/2024 6:40:31 AM";2;18;0;0;0;NA;-30003000;"12.8°C ";137;60;30;1;1
"2912168";"10/1/2024 6:40:32 AM";2;22;0;0;0;NA;-30003000;"12.8°C ";137;60;30;1;2
"2912169";"10/1/2024 6:40:51 AM";2;3;0;0;0;NA;-30003000;"12.8°C ";115;30;30;1;2
"2912170";"10/1/2024 6:40:53 AM";-1;7;0;0;0;NA;-30003000;"12.8°C ";115;30;30;1;1
"2912171";"10/1/2024 6:40:55 AM";2;18;0;0;0;NA;-30003000;"12.8°C ";115;30;30;1;1
"2912172";"10/1/2024 6:40:56 AM";2;22;0;0;0;NA;-30003000;"12.8°C ";115;30;30;1;2
"2912173";"10/1/2024 6:41:17 AM";2;3;0;0;0;NA;-30003000;"12.8°C ";115;60;30;1;1
"2912174";"10/1/2024 6:41:18 AM";-1;7;0;0;0;NA;-30003000;"12.8°C ";115;60;30;1;2
"2912175";"10/1/2024 6:41:20 AM";2;18;0;0;0;NA;-30003000;"12.8°C ";115;60;30;1;1
"2912176";"10/1/2024 6:41:21 AM";2;22;0;0;0;NA;-30003000;"12.8°C ";115;60;30;1;2
"2912177";"10/1/2024 6:41:40 AM";2;3;0;0;0;NA;-30003000;"12.8°C ";115;30;30;1;2
"2912178";"10/1/2024 6:41:42 AM";-1;7;0;0;0;NA;-30003000;"12.8°C ";115;30;30;1;1
"2912179";"10/1/2024 6:41:43 AM";2;18;0;0;0;NA;-30003000;"12.8°C ";115;30;30;1;2
"2912180";"10/1/2024 6:41:45 AM";2;22;0;0;0;NA;-30003000;"12.8°C ";115;30;30;1;2
"2912181";"10/1/2024 6:42:04 AM";2;3;0;0;0;NA;-30003000;"12.8°C ";115;60;30;1;2
"2912182";"10/1/2024 6:42:06 AM";-1;7;0;0;0;NA;-30003000;"12.8°C ";115;60;30;1;2
"2912183";"10/1/2024 6:42:08 AM";2;18;0;0;0;NA;-30003000;"12.8°C ";115;60;30;1;1
"2912184";"10/1/2024 6:42:09 AM";2;22;0;0;0;NA;-30003000;"12.8°C ";115;60;30;1;2
"2912185";"10/1/2024 6:42:30 AM";2;3;0;0;0;NA;-30003000;"12.8°C ";115;30;30;1;1
"2912186";"10/1/2024 6:42:31 AM";-1;7;0;0;0;NA;-30003000;"12.8°C ";115;30;30;1;2
"2912187";"10/1/2024 6:42:33 AM";2;18;0;0;0;NA;-30003000;"12.8°C ";115;30;30;1;1
"2912188";"10/1/2024 6:42:34 AM";2;22;0;0;0;NA;-30003000;"12.8°C ";115;30;30;1;2
"2912189";"10/1/2024 6:42:53 AM";2;3;0;0;0;NA;-30003000;"12.8°C ";115;60;30;1;2
"2912190";"10/1/2024 6:42:55 AM";-1;7;0;0;0;NA;-30003000;"12.8°C ";115;60;30;1;1
"2912191";"10/1/2024 6:42:57 AM";2;18;0;0;0;NA;-30003000;"12.8°C ";115;60;30;1;1
"2912192";"10/1/2024 6:42:58 AM";2;22;0;0;0;NA;-30003000;"12.8°C ";115;60;30;1;2
"2912193";"10/1/2024 6:44:58 AM";2;3;0;0;0;NA;-30003000;"12.8°C ";688;60;0;1;2
"2912194";"10/1/2024 6:45:00 AM";-1;7;0;0;0;NA;-30003000;"12.8°C ";688;60;0;1;1
"2912195";"10/1/2024 6:45:01 AM";2;18;0;0;0;NA;-30003000;"12.8°C ";688;60;0;1;2
"2912196";"10/1/2024 6:45:03 AM";2;22;0;0;0;NA;-30003000;"12.8°C ";688;60;0;1;1
"2912197";"10/1/2024 6:45:22 AM";2;3;0;0;0;NA;-30003000;"12.8°C ";688;90;0;1;2
"2912198";"10/1/2024 6:45:24 AM";-1;7;0;0;0;NA;-30003000;"12.8°C ";688;90;0;1;1
"2912199";"10/1/2024 6:45:26 AM";2;18;0;0;0;NA;-30003000;"12.8°C ";688;90;0;1;1
"2912200";"10/1/2024 6:45:27 AM";2;22;0;0;0;NA;-30003000;"12.8°C ";688;90;0;1;2
"2912201";"10/1/2024 6:45:48 AM";2;3;0,394;3,96e-05;4,982e-06;32;-30003000;"12.8°C ";544;60;0;1;2
"2912202";"10/1/2024 6:45:51 AM";-1;7;0;0;0;NA;-30003000;"12.8°C ";544;60;0;1;1
"2912203";"10/1/2024 6:45:52 AM";2;18;0;0;0;NA;-30003000;"12.8°C ";544;60;0;1;1
"2912204";"10/1/2024 6:45:53 AM";2;22;0;0;0;NA;-30003000;"12.8°C ";544;60;0;1;2
"2912205";"10/1/2024 6:46:12 AM";2;3;0;0;0;NA;-30003000;"12.8°C ";544;90;0;1;2
"2912206";"10/1/2024 6:46:14 AM";-1;7;0;0;0;NA;-30003000;"12.8°C ";544;90;0;1;1
"2912207";"10/1/2024 6:46:15 AM";2;18;0;0;0;NA;-30003000;"12.8°C ";544;90;0;1;2
"2912208";"10/1/2024 6:46:17 AM";2;22;0;0;0;NA;-30003000;"12.8°C ";544;90;0;1;1
"2912209";"10/1/2024 6:46:39 AM";2;3;0,273;2,3e-05;1,824e-06;29;-30003000;"12.8°C ";358;60;0;1;2
"2912210";"10/1/2024 6:46:41 AM";-1;7;0;0;0;NA;-30003000;"12.8°C ";358;60;0;1;2
"2912211";"10/1/2024 6:46:43 AM";2;18;0;0;0;NA;-30003000;"12.8°C ";358;60;0;1;1
"2912212";"10/1/2024 6:46:44 AM";2;22;0;0;0;NA;-30003000;"12.8°C ";358;60;0;1;2
"2912213";"10/1/2024 6:47:03 AM";2;3;0;0;0;NA;-30003000;"12.8°C ";358;90;0;1;2
"2912214";"10/1/2024 6:47:05 AM";-1;7;0;0;0;NA;-30003000;"12.8°C ";358;90;0;1;1
"2912215";"10/1/2024 6:47:07 AM";2;18;0,03;0,0001134;0;0;-30003000;"12.8°C ";358;90;0;1;1
"2912216";"10/1/2024 6:47:08 AM";2;22;0;0;0;NA;-30003000;"12.8°C ";358;90;0;1;1
"2912217";"10/1/2024 6:47:29 AM";2;3;0;0;0;NA;-30003000;"12.8°C ";263;60;0;1;2
"2912218";"10/1/2024 6:47:31 AM";-1;7;0;0;0;NA;-30003000;"12.8°C ";263;60;0;1;1
"2912219";"10/1/2024 6:47:32 AM";2;18;0;0;0;NA;-30003000;"12.8°C ";263;60;0;1;2
"2912220";"10/1/2024 6:47:34 AM";2;22;0;0;0;NA;-30003000;"12.8°C ";263;60;0;1;2
"2912221";"10/1/2024 6:47:53 AM";2;3;0;0;0;NA;-30003000;"12.8°C ";263;90;0;1;2
"2912222";"10/1/2024 6:47:55 AM";-1;7;0;0;0;NA;-30003000;"12.8°C ";263;90;0;1;1
"2912223";"10/1/2024 6:47:56 AM";2;18;0,03;0,0001147;0;0;-30003000;"12.8°C ";263;90;0;1;2
"2912224";"10/1/2024 6:47:58 AM";2;22;0;0;0;NA;-30003000;"12.8°C ";263;90;0;1;1
"2912225";"10/1/2024 6:48:22 AM";2;3;0,273;2,32e-05;1,8392e-06;29;-30003000;"12.8°C ";358;50;10;1;2
"2912226";"10/1/2024 6:48:24 AM";-1;7;0,333;1,63e-05;1,3528e-06;25;-30003000;"12.8°C ";358;50;10;1;2
"2912227";"10/1/2024 6:48:26 AM";2;18;0;0;0;NA;-30003000;"12.8°C ";358;50;10;1;2
"2912228";"10/1/2024 6:48:28 AM";2;22;0;0;0;NA;-30003000;"12.8°C ";358;50;10;1;1
"2912229";"10/1/2024 6:48:46 AM";2;3;0;0;0;NA;-30003000;"12.8°C ";358;80;10;1;2
"2912230";"10/1/2024 6:48:48 AM";-1;7;0;0;0;NA;-30003000;"12.8°C ";358;80;10;1;2
"2912231";"10/1/2024 6:48:50 AM";2;18;0;0;0;NA;-30003000;"12.8°C ";358;80;10;1;1
"2912232";"10/1/2024 6:48:51 AM";2;22;0;0;0;NA;-30003000;"12.8°C ";358;80;10;1;2
"2912233";"10/1/2024 6:49:13 AM";2;3;0;0;0;NA;-30003000;"12.8°C ";263;50;10;1;1
"2912234";"10/1/2024 6:49:14 AM";-1;7;0;0;0;NA;-30003000;"12.8°C ";263;50;10;1;2
"2912235";"10/1/2024 6:49:16 AM";2;18;0;0;0;NA;-30003000;"12.8°C ";263;50;10;1;1
"2912236";"10/1/2024 6:49:17 AM";2;22;0;0;0;NA;-30003000;"12.8°C ";263;50;10;1;2
"2912237";"10/1/2024 6:49:36 AM";2;3;0;0;0;NA;-30003000;"12.8°C ";263;80;10;1;2
"2912238";"10/1/2024 6:49:38 AM";-1;7;0;0;0;NA;-30003000;"12.8°C ";263;80;10;1;2
"2912239";"10/1/2024 6:49:40 AM";2;18;0;0;0;NA;-30003000;"12.8°C ";263;80;10;1;1
